"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","Less than 80",6,1,0,0,0,1,0,0,0,0,1,0,9,11.1,0,0,0,11.1,0,0,0,0,66.7,11.1,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","80 - 89.5",11,4,1,2,0,0,0,0,0,0,1,0,19,21.1,5.3,10.5,0,0,0,0,0,0,57.9,5.3,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","90 - 95.5",20,9,14,4,8,1,1,0,0,0,0,0,57,15.8,24.6,7,14,1.8,1.8,0,0,0,35.1,0,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","96 - 99.5",14,10,8,4,6,6,2,4,0,0,0,0,54,18.5,14.8,7.4,11.1,11.1,3.7,7.4,0,0,25.9,0,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","100 - 102",10,6,14,7,10,6,6,3,0,0,0,0,62,9.7,22.6,11.3,16.1,9.7,9.7,4.8,0,0,16.1,0,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","102.5 - 104.5",14,10,18,21,15,15,9,4,4,1,2,0,113,8.8,15.9,18.6,13.3,13.3,8,3.5,3.5,0.9,12.4,1.8,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","105 - 107",10,8,6,19,25,23,21,14,9,2,2,0,139,5.8,4.3,13.7,18,16.5,15.1,10.1,6.5,1.4,7.2,1.4,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","107.5 - 109.5",4,5,14,11,22,24,24,20,15,8,0,0,147,3.4,9.5,7.5,15,16.3,16.3,13.6,10.2,5.4,2.7,0,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","110 - 113",2,4,8,14,15,23,36,37,24,15,0,0,178,2.2,4.5,7.9,8.4,12.9,20.2,20.8,13.5,8.4,1.1,0,0
202223,"Academic year","National","E92000001","England","Provisional","All Pupils","All Pupils","Ancient History","113.5 - 116.5",1,1,1,4,6,11,15,27,31,26,0,0,123,0.8,0.8,3.3,4.9,8.9,12.2,22,25.2,21.1,0.8,0,0
